,publishedAt,extractedAt,id,title,views,likes,comments
90,2018-04-13T18:40:31Z,2022-02-13 18:41:23.883845,ZT0gKL6nBi4,ОБМАНЕТ ЛИ КОНСУЛЬТАНТ БАБУШКУ ПРИ ПОКУПКЕ ПК?!,1969546,81982,5048
91,2019-02-07T18:12:23Z,2022-02-13 18:41:24.110147,alAC923VvD8,КУПИЛ ДИПЛОМ О ВЫСШЕМ ОБРАЗОВАНИИ. Что дальше?,945960,40096,1950
92,2021-08-05T16:27:43Z,2022-02-13 18:41:24.313401,k4rd1EYItoA,"ЧТО, ЕСЛИ использовать ОДИН ПАРОЛЬ ВЕЗДЕ?!",209870,16664,1043
93,2020-08-28T16:28:24Z,2022-02-13 18:41:24.651305,KAXNhcSuAjg,"ЧТО, ЕСЛИ согласиться на ЛЕГКИЙ ЗАРАБОТОК ВКОНТАКТЕ?!",1528223,78864,1734
94,2018-10-21T18:51:44Z,2022-02-13 18:41:24.852929,hF56tbYTkd8,КАК ПРОДАТЬ ПУСТОТУ? – ЭКСПЕРИМЕНТ. ИТОГИ,525549,23909,1441
95,2019-07-17T15:10:58Z,2022-02-13 18:41:25.078028,lRPXn-yvm1k,КАК Я ОБМАНУЛ ЧЕЛОВЕКА НА 100 000 РУБЛЕЙ?!,656208,70823,1945
96,2021-09-02T09:32:19Z,2022-02-13 18:41:25.298968,c-2CE2NPYRQ,"Как заработать в Интернете? — Игровые предметы, Бонусхантинг и Instagram REELS",271857,20322,810
97,2019-08-23T16:46:46Z,2022-02-13 18:41:25.545160,ffnlngYA8L4,Я — ДЕВУШКА В ИНТЕРНЕТЕ!,699316,46531,2214
98,2019-08-29T16:31:19Z,2022-02-13 18:41:26.460724,wdmX6flPuFQ,КУПИЛ СЕАНС ЭКСТРАСЕНСА В ИНСТАГРАМЕ!,553465,45097,3058
99,2021-06-30T16:23:27Z,2022-02-13 18:41:26.848039,GoJkF7Wro08,ИСТОРИЯ СКАМА В КИТАЕ,317587,20097,662
100,2021-02-14T12:11:23Z,2022-02-13 18:41:27.207567,BgYOdMl7zbg,Я СТАЛ ФЕЙК ЭКСТРАСЕНСОМ! Как вас обманывают на МИЛЛИОНЫ при помощи открытой информации в Интернете?,214084,14767,596
101,2017-02-01T20:28:40Z,2022-02-13 18:41:27.561133,h6MifN2YM6g,ТРОЛЛИНГ ПРОДАВЦОВ АВТОМОБИЛЕЙ 8,59271,2385,207
102,2020-10-31T13:14:56Z,2022-02-13 18:41:27.891620,chL6BOF10lY,КАК СОЗДАТЬ ТИК ТОК ЗВЕЗДУ?! ЗАРАБАТЫВАЕМ НА ПРОДЮСИРОВАНИИ ДЕВУШЕК В TIK TOK,230680,14911,621
103,2020-07-21T16:24:49Z,2022-02-13 18:41:28.255438,x0M2fewrWaI,КАК СДЕЛАТЬ МАСКУ В ИНСТАГРАМ И ЗАРАБОТАТЬ НА ЭТОМ?! Заказы за 1500 и 3000 рублей,246398,17114,638
104,2020-11-08T10:48:57Z,2022-02-13 18:41:28.580672,Hrc4xwLVph0,Почему НЕЛЬЗЯ ФОТОГРАФИРОВАТЬСЯ С ПАСПОРТОМ в руках?!,676793,39970,1137
105,2019-02-20T19:21:30Z,2022-02-13 18:41:28.830007,KfzPqROlltQ,ЗАКАЗНЫЕ УБИЙСТВА. АКТУАЛЬНОСТЬ НА 2019 ГОД. (ЭКСПЕРИМЕНТ),823479,30227,1036
106,2019-01-20T10:00:05Z,2022-02-13 18:41:29.145458,tp3CXYTHUm4,КАК ВСЕГДА ВАС ОБМАНЫВАТЬ НА СТАВКАХ И ЗАРАБАТЫВАТЬ МИЛЛИОНЫ?!,366026,18636,1062
107,2020-06-09T16:43:26Z,2022-02-13 18:41:29.354155,SH_aBd_WgEw,КАК УСТРОИТЬСЯ НА ХОРОШУЮ РАБОТУ БЕЗ ОПЫТА?! — Начало,422762,36367,1677
108,2020-06-09T16:43:26Z,2022-02-13 18:41:30.398773,SH_aBd_WgEw,КАК УСТРОИТЬСЯ НА ХОРОШУЮ РАБОТУ БЕЗ ОПЫТА?! — Начало,422762,36367,1677
109,2019-11-07T17:15:48Z,2022-02-13 18:41:30.837497,zNFQolRG994,LAMODA – МЕНЯЮ ПОДДЕЛКУ НА ОРИГИНАЛ!,623314,37531,1197
110,2021-12-23T16:29:19Z,2022-02-13 18:41:31.276108,nzXFontjCs0,ПРОВЕРИЛ ТВОЮ ДЕВУШКУ НА ВЕРНОСТЬ!,282679,22925,863
111,2018-10-16T12:45:19Z,2022-02-13 18:41:31.594899,kRu1MCBpMgw,ЮНЫЕ БИЗНЕСМЕНЫ ИНСТАГРАМА (INSTAGRAM ТРОЛЛИНГ),810637,53993,925
112,2021-06-06T16:37:49Z,2022-02-13 18:41:32.043091,kEu-tThUwcQ,"ЗАРАБОТАЛ НА ВОЗДУХЕ, КАК?!",343681,23570,751
113,2019-05-13T17:41:04Z,2022-02-13 18:41:32.399073,lRufpefc-vg,"Я КУПИЛ СВИДЕТЕЛЬСТВО О СМЕРТИ, ЗАЧЕМ?",740873,41716,1264
114,2021-11-21T16:10:41Z,2022-02-13 18:41:32.815669,RI3NhA3Cqj8,КАК СЛЕДИТЬ СКРЫТНО ЗА ЧЕЛОВЕКОМ в 2021?!,250381,17320,592
115,2017-02-09T18:39:35Z,2022-02-13 18:41:33.036993,fTJztFcgMO8,ИГРА СИНИЙ КИТ.(Общаемся с куратором).ЧАСТЬ 1.,737845,42212,1310
116,2020-11-15T11:14:00Z,2022-02-13 18:41:33.373059,qdF73ljPFtg,Я СОЗДАЛ САЙТ С УСЛУГАМИ ПО ВЫБИВАНИЮ ДОЛГОВ?! — Заплати за коллектора!,376453,22130,680
117,2019-09-09T17:06:45Z,2022-02-13 18:41:33.594211,rtKpsSEsFms,ВЗЯЛ КРЕДИТ НА ТВОЙ ПАСПОРТ!,540532,29170,1158
118,2018-11-23T18:57:57Z,2022-02-13 18:41:34.465921,62zuDe-LMso,ЗАКАЗАЛ ПОДДЕЛЬНЫЕ ДЕНЬГИ С ТЕНЕВОГО ИНТЕРНЕТА! (ДАРКНЕТ),1545792,53456,
119,2021-05-28T14:54:09Z,2022-02-13 18:41:34.707929,l169oYeIIe4,"БИТКОИН, ДО СВИДАНИЯ!",207723,15629,1187
120,2021-10-31T16:24:22Z,2022-02-13 18:41:34.949559,vZVEvel95Ag,ВЗЛОМАЛ ТВОИ ДАННЫЕ ЧЕРЕЗ QR-КОД!,204501,15381,507
121,2019-10-24T16:33:18Z,2022-02-13 18:41:35.173823,ATgxWPV2hBg,КУПИЛ КСИВУ СЛЕДСТВЕННОГО КОМИТЕТА НА ТЕНЕВОМ РЫНКЕ!,261173,16453,590
122,2018-06-30T12:13:15Z,2022-02-13 18:41:35.398111,xE3pC7T8EEE,Обманет ли консультант ИНОСТРАНЦА при покупке ПК?!,89608,5653,413
123,2019-05-21T16:19:52Z,2022-02-13 18:41:35.609019,B0Elt1AkSr0,"ВЕЩИ ЗНАМЕНИТОСТЕЙ НА АВИТО, ЧТО?",501564,21421,671
124,2020-12-29T15:57:44Z,2022-02-13 18:41:35.841954,MGZeVluOca4,"СОБЕСЕДОВАНИЕ В МОШЕННИЧЕСКУЮ КОМПАНИЮ! АУФИ, ACB Service",249997,16241,879
125,2020-08-31T16:25:11Z,2022-02-13 18:41:36.176304,_YW7zUxRaKg,КАК СТАТЬ ПОПУЛЯРНЫМ В TIKTOK ЗА 1 ДЕНЬ И ЗАРАБОТАТЬ НА ЭТОМ?!,1048822,57862,1945
126,2020-06-29T16:42:57Z,2022-02-13 18:41:36.506445,hNHexCEMVVQ,КАК Я СТАЛ ПРОГРАММИСТОМ ЗА 5 ДНЕЙ БЕЗ ОПЫТА?! (от 35 000₽ в месяц),518801,30045,1107
127,2018-11-11T16:09:13Z,2022-02-13 18:41:36.775924,mxlFjk043zw,В РОЛИ ИНСТАГРАМ БИЗНЕСМЕНА. (INSTAGRAM ТРОЛЛИНГ). Сколько можно заработать?,364240,15994,467
128,2018-11-11T16:09:13Z,2022-02-13 18:41:37.762950,mxlFjk043zw,В РОЛИ ИНСТАГРАМ БИЗНЕСМЕНА. (INSTAGRAM ТРОЛЛИНГ). Сколько можно заработать?,364240,15994,467
129,2020-12-24T16:03:49Z,2022-02-13 18:41:38.102079,MUvoKQpUB_w,КУПИЛ КУРС ПО РАСКРУТКЕ СЕБЯ В ИНТЕРНЕТЕ!,293127,17023,559
130,2019-01-10T18:11:58Z,2022-02-13 18:41:38.421449,GNtfKqgqPc8,ЗАКАЗАЛ ВЗЛОМ ПОДПИСЧИКА – Вся правда о взломах.,694045,30338,1495
131,2018-11-04T15:32:03Z,2022-02-13 18:41:38.750914,SzWo7GoSHW4,МИСТИЧЕСКИЕ ПОСЫЛКИ ИЗ ДАРКНЕТА! :) (НЕ ФЕЙК!!1),185511,9332,426
132,2020-05-31T16:40:05Z,2022-02-13 18:41:39.079418,j4FXm2RsPWs,Продаю IPHONE 12 на АВИТО!,1153178,88568,1270
133,2021-04-11T16:28:49Z,2022-02-13 18:41:39.392026,ZNJVOX4Ibo4,ИСТОРИЯ СКАМА В РОССИИ,518710,32916,1424
134,2017-12-06T11:39:12Z,2022-02-13 18:41:39.757389,J5shIxSnp9Y,ВЗЯЛИ НА РАБОТУ В ЭЛЬДОРАДО? (Как прошло собеседование),1007725,45889,1221
135,2017-02-26T17:15:30Z,2022-02-13 18:41:40.075027,11wn7ZR82gQ,ТРОЛЛИНГ ПРОДАВЦОВ АВТОМОБИЛЕЙ 9,57067,3005,228
